Customer_ID,txn_count,revenue_total,revenue_mean,quantity_total,rating_mean
CUST00000001,5,40098.48,8019.696000000001,5,4.0
CUST00000002,10,96487.45999999999,9648.746,12,3.8
CUST00000003,2,73387.76,36693.88,3,0.0
CUST00000004,9,388923.23,43213.69222222222,9,4.0
CUST00000005,6,75252.85,12542.141666666668,8,4.0
CUST00000006,6,195157.40999999997,32526.234999999997,7,4.0
CUST00000007,10,309239.04000000004,30923.904000000002,14,5.0
CUST00000008,8,173158.0,21644.75,14,4.142857142857143
CUST00000009,9,625243.5700000001,69471.50777777779,12,4.0
CUST00000010,9,265082.75,29453.63888888889,10,4.25
CUST00000011,9,136935.79,15215.087777777779,12,4.666666666666667
CUST00000012,5,420472.27,84094.454,7,4.0
CUST00000013,6,77308.68,12884.779999999999,7,4.4
CUST00000014,5,131378.22,26275.644,8,4.75
CUST00000015,5,83383.93,16676.786,8,4.0
CUST00000016,8,86078.26000000001,10759.782500000001,10,4.6
CUST00000017,6,211960.66999999998,35326.77833333333,7,4.25
CUST00000018,6,215965.28999999998,35994.215,10,4.333333333333333
CUST00000019,9,99480.60999999999,11053.40111111111,12,4.333333333333333
CUST00000020,12,254144.59000000003,21178.715833333335,12,4.5
CUST00000021,3,139403.3,46467.76666666666,5,3.0
CUST00000022,11,236772.97000000003,21524.815454545456,14,4.125
CUST00000023,3,67612.09000000001,22537.36333333334,3,0.0
CUST00000024,3,137750.19,45916.73,7,5.0
CUST00000025,10,103396.56999999999,10339.657,15,4.0
CUST00000026,8,102150.38,12768.7975,8,4.0
CUST00000027,7,116874.46,16696.35142857143,7,4.5
CUST00000028,4,220186.22999999998,55046.557499999995,6,4.5
CUST00000029,6,311232.91000000003,51872.15166666667,11,4.8
CUST00000030,8,156102.68,19512.835,9,4.428571428571429
CUST00000031,2,74590.78,37295.39,2,0.0
CUST00000032,11,365779.01,33252.637272727276,18,4.166666666666667
CUST00000033,1,23832.76,23832.76,2,4.0
CUST00000034,5,91206.59,18241.318,7,4.5
CUST00000035,5,140599.86,28119.971999999998,10,4.0
CUST00000036,3,116977.79,38992.596666666665,3,4.666666666666667
CUST00000037,6,176748.04,29458.006666666668,7,0.0
CUST00000038,4,127749.45999999999,31937.364999999998,6,4.0
CUST00000039,6,37419.33,6236.555,7,4.0
CUST00000040,6,181800.28,30300.046666666665,6,4.2
CUST00000041,7,192826.61999999997,27546.659999999996,8,4.0
CUST00000042,9,276272.93,30696.992222222223,12,4.0
CUST00000043,3,74574.13,24858.043333333335,3,5.0
CUST00000044,6,209732.09999999998,34955.35,7,4.0
CUST00000045,8,139037.3,17379.6625,10,4.0
CUST00000046,4,81517.37,20379.3425,9,5.0
CUST00000047,5,26013.519999999997,5202.704,7,5.0
CUST00000048,5,166034.0,33206.8,6,4.0
CUST00000049,6,222874.55,37145.75833333333,7,4.6
CUST00000050,6,49251.13,8208.521666666666,8,4.5
CUST00000051,4,261308.14,65327.035,4,3.5
CUST00000052,7,68690.73999999999,9812.962857142857,10,4.0
CUST00000053,4,34480.91,8620.2275,4,5.0
CUST00000054,10,115631.93,11563.193,14,4.5
CUST00000055,5,117403.9,23480.78,6,4.0
CUST00000056,3,107091.85999999999,35697.28666666666,3,5.0
CUST00000057,6,76192.88,12698.813333333334,7,4.0
CUST00000058,7,176901.87,25271.695714285714,7,4.333333333333333
CUST00000059,5,125538.19,25107.638,8,5.0
CUST00000060,2,6233.23,3116.615,2,5.0
CUST00000061,5,80241.10999999999,16048.221999999998,9,4.666666666666667
CUST00000062,8,370727.18,46340.8975,13,4.4
CUST00000063,5,7437.84,1487.568,5,5.0
CUST00000064,4,141375.73,35343.9325,4,4.333333333333333
CUST00000065,6,48428.2,8071.366666666666,7,4.333333333333333
CUST00000066,11,240406.0,21855.090909090908,17,5.0
CUST00000067,7,201780.81,28825.829999999998,7,5.0
CUST00000068,3,67298.29000000001,22432.763333333336,3,5.0
CUST00000069,8,64837.61,8104.70125,8,4.333333333333333
CUST00000070,12,485613.22,40467.76833333333,16,4.285714285714286
CUST00000071,7,360755.64,51536.520000000004,10,5.0
CUST00000072,4,123244.18,30811.045,4,5.0
CUST00000073,6,210462.77000000002,35077.128333333334,6,4.5
CUST00000074,5,170552.98,34110.596000000005,5,4.5
CUST00000075,11,169284.5,15389.5,15,4.6
CUST00000076,2,57569.78,28784.89,2,4.5
CUST00000077,1,25735.79,25735.79,1,0.0
CUST00000078,6,27466.15,4577.691666666667,6,5.0
CUST00000079,5,56879.43,11375.886,5,5.0
CUST00000080,9,125185.04999999999,13909.449999999999,9,4.0
CUST00000081,6,123349.5,20558.25,8,0.0
CUST00000082,5,117581.1,23516.22,5,4.0
CUST00000083,7,157399.77000000002,22485.68142857143,9,4.666666666666667
CUST00000084,5,226819.85,45363.97,7,4.666666666666667
CUST00000085,9,261859.05,29095.449999999997,9,4.0
CUST00000086,5,299536.36,59907.272,5,4.333333333333333
CUST00000087,4,65516.68,16379.17,4,4.5
CUST00000088,6,68262.38,11377.063333333334,9,4.0
CUST00000089,5,38859.34,7771.8679999999995,7,4.333333333333333
CUST00000090,5,81058.42,16211.684,7,4.0
CUST00000091,4,188531.2,47132.8,8,5.0
CUST00000092,6,110356.21,18392.701666666668,7,4.333333333333333
CUST00000093,10,282653.38,28265.338,10,4.166666666666667
CUST00000094,9,197368.05,21929.783333333333,11,4.666666666666667
CUST00000095,4,82898.01000000001,20724.502500000002,7,4.666666666666667
CUST00000096,4,278991.51,69747.8775,6,5.0
CUST00000097,5,76192.1,15238.420000000002,7,4.0
CUST00000098,10,161506.78,16150.678,11,4.333333333333333
CUST00000099,3,9211.300000000001,3070.433333333334,5,4.0
CUST00000100,7,293625.62,41946.51714285714,10,4.5
CUST00000101,5,271605.11,54321.022,5,4.0
CUST00000102,10,328272.01,32827.201,12,4.8
CUST00000103,4,126027.18,31506.795,4,4.5
CUST00000104,4,14711.150000000001,3677.7875000000004,4,4.5
CUST00000105,6,13624.029999999999,2270.6716666666666,7,4.0
CUST00000106,6,275089.17000000004,45848.19500000001,6,5.0
CUST00000107,4,11341.85,2835.4625,7,5.0
CUST00000108,5,34449.869999999995,6889.973999999999,5,4.0
CUST00000109,4,29135.140000000003,7283.785000000001,4,4.0
CUST00000110,3,70857.20999999999,23619.069999999996,3,4.333333333333333
CUST00000111,6,79849.84,13308.306666666665,6,3.75
CUST00000112,8,304248.24,38031.03,11,4.333333333333333
CUST00000113,8,502062.95999999996,62757.869999999995,9,4.0
CUST00000114,11,204534.9,18594.081818181818,11,4.0
CUST00000115,9,228571.41,25396.823333333334,9,4.4
CUST00000116,7,109884.54000000001,15697.79142857143,7,4.333333333333333
CUST00000117,5,6715.15,1343.03,5,4.0
CUST00000118,9,370108.91,41123.21222222222,11,4.333333333333333
